Type,Time,Level,Traded Amount,Max Trade,Trade Count,Given,Paid,Max Order,Bids,Asks,Subsequent Trades,1min,5min,Profit,Cum Pnl
ICEBERG,26/11/2018 05:01:10,4060.00,10.12, 3.66, 7,10.12, 0.00, 0.98,109, 0,3.31,4058.89,4048.10,-11.90, 49.88
ICEBERG,26/11/2018 05:50:28,4110.00,40.89,20.42, 5, 0.00,40.89, 3.51, 0,78,0.00,4107.35,4094.21, 15.79, 65.67
ICEBERG,26/11/2018 06:15:11,4090.00,11.68, 3.25,14, 0.00,11.68, 2.58, 0,77,0.00,4096.31,4096.56, -6.56, 59.11
ICEBERG,26/11/2018 06:25:37,4114.00,11.44, 5.66, 9,11.42, 0.03, 5.69, 1,65,0.08,4109.37,4105.94, -8.06, 51.05
ICEBERG,26/11/2018 07:10:56,4148.06,10.18, 4.81, 5,10.18, 0.00, 1.19, 4, 0,1.65,4149.09,4151.54,  3.48, 54.53
ICEBERG,26/11/2018 07:31:33,4138.00,10.95, 2.92, 8, 2.70, 8.25, 4.95, 0,35,9.26,4140.84,4141.58, -3.58, 50.95
ICEBERG,26/11/2018 08:40:08,4008.27,50.84,25.16,10, 0.00,50.84, 2.00, 0, 3,0.18,3991.40,4024.97,-16.70, 34.25
ICEBERG,26/11/2018 10:30:08,4056.04,10.88, 4.15, 8, 1.52, 9.36, 0.62, 3,44,3.29,4050.01,4042.98, 13.06, 47.31
ICEBERG,26/11/2018 13:37:14,3985.01,17.18, 4.41, 7, 5.62,11.56, 7.62, 2, 0,0.00,3990.00,3993.81, -8.80, 38.51
ICEBERG,26/11/2018 13:37:35,3978.63,43.22,21.59, 3, 0.04,43.18, 0.16, 7, 0,0.30,3993.83,3988.48, -9.85, 28.66
ICEBERG,26/11/2018 13:37:52,3985.01,17.18, 4.41, 8, 5.62,11.56, 7.62, 3, 3,0.00,4000.29,3989.60, -4.59, 24.07
ICEBERG,26/11/2018 13:41:49,3993.70,10.92, 5.00, 6, 0.00,10.92, 5.00, 0, 4,0.00,3987.91,3999.52, -5.82, 18.25
ICEBERG,26/11/2018 14:41:15,3904.03,16.30, 7.97, 3,15.95, 0.35, 2.26, 0, 5,0.35,3905.00,3888.40,-15.63,  2.62
ICEBERG,26/11/2018 14:56:15,3908.26,10.82, 4.03, 6, 8.08, 2.75, 4.03, 1, 0,0.00,3913.12,3910.02,  1.76,  4.38
ICEBERG,26/11/2018 15:04:47,3877.93,14.60, 6.21, 6,14.60, 0.00, 6.21, 1, 0,0.00,3889.23,3851.30,-26.63,-22.25
ICEBERG,26/11/2018 17:08:42,3880.00,22.42,11.01, 3, 0.41,22.02,11.01,30, 1,1.90,3882.80,3882.36, -2.36,-24.61
ICEBERG,26/11/2018 17:51:55,3930.00,12.92, 6.14, 6,12.28, 0.65, 5.64, 4,18,12.20,3925.47,3896.17,-33.83,-58.44
ICEBERG,28/11/2018 22:39:38,4208.00,26.35, 8.74, 7,26.35, 0.00,10.00,27, 0,10.47,4209.59,4201.04, -6.96,-65.40
ICEBERG,30/11/2018 02:05:39,4262.95,15.07, 5.84, 7,14.00, 1.08, 1.20, 0, 6,1.03,4263.07,4267.24,  4.29,-61.11
ICEBERG,2/12/2018 05:43:37,4145.00,15.63, 7.80,12,14.87, 0.76, 2.03, 0,31,5.15,4140.09,4145.00,  0.00,-61.11
ICEBERG,9/12/2018 21:51:04,3567.43,12.44, 4.00, 8, 1.57,10.87, 1.00,11, 1,6.70,3568.12,3544.93, 22.50,-38.61
ICEBERG,14/12/2018 17:56:30,3213.01,13.62, 6.53, 3, 6.10, 7.52, 6.53,15, 1,0.48,3212.96,3215.59, -2.58,-41.19
